sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270104/000255/2023,SERVICO AUTONOMO DE AGUA E ESGOTO SAAE,60000.10,60,nao_coletado,0,0
SEI-270007/017956/2025,ÁGUAS DAS AGULHAS NEGRAS S/A,137779.39,60,integra,5,1
SEI-270131/000196/2021,SANTA CASA DE BARRA MANSA,644390.82,60,integra,3,1
SEI-270003/001682/2025,SANTA CASA DE BARRA MANSA,644390.82,60,integra,2,1
SEI-270003/002951/2025,SANTA CASA DE BARRA MANSA,644390.82,60,integra,8,1
SEI-270003/003271/2025,SANTA CASA DE BARRA MANSA,644390.82,60,integra,10,1
SEI-270007/030636/2025,SANTA CASA DE BARRA MANSA,644390.82,60,integra,8,1
SEI-270006/034890/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,1003660.20,60,integra,8,1
SEI-270042/001107/2023,IGUA RIO DE JANEIRO S.A.,800836.33,60,integra,8,1
SEI-270006/042013/2025,CLINAD DIAGNÓSTICO E TRATAMENTO ESPECIALIZADOS,644390.82,60,nao_coletado,0,0
SEI-270042/000531/2022,TOYOTA DO BRASIL LTDA,1191000.00,60,nao_coletado,0,0
SEI-270001/000231/2026,LPM TELEINFORMATICA LTDA - EPP,1946719.70,60,nao_coletado,0,0
SEI-270004/001627/2025,LPM TELEINFORMATICA LTDA - EPP,1946719.70,60,nao_coletado,0,0
SEI-270003/000085/2026,BEM ESTAR HOSPITALAR COMÉRCIO DE EQUIPAMENTOS MÉDICOS E MATERIAIS PARA SAÚDE LTDA,21991600.00,60,integra,7,1
SEI-270006/018696/2025,BEM ESTAR HOSPITALAR COMÉRCIO DE EQUIPAMENTOS MÉDICOS E MATERIAIS PARA SAÚDE LTDA,21991600.00,60,so_despacho,0,0
SEI-270006/037548/2025,AMPLA ENERGIA E SERVIÇOS S/A,8185919.00,60,integra,10,1
SEI-270003/004106/2024,F AB ZONA OESTE S A,3205633.24,60,nao_coletado,0,0
SEI-270006/034446/2024,F AB ZONA OESTE S A,3205633.24,60,nao_coletado,0,0
SEI-270042/001929/2022,TOVÁ COMÉRCIO DE PNEUS LTDA,6037714.57,60,integra,8,1
